,Unnamed: 0,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Total Score,Pass/Fail
135,135,female,group B,associate's degree,free/reduced,completed,74,89,90,253,P
136,136,female,group E,high school,standard,none,100,94,89,283,P
137,137,male,group A,bachelor's degree,standard,completed,83,80,75,238,P
138,138,female,group D,some college,standard,none,100,94,103,297,P
139,139,male,group B,associate's degree,free/reduced,none,46,46,44,136,P
140,140,male,group E,associate's degree,standard,completed,56,61,52,169,P
141,141,male,group B,some college,free/reduced,completed,51,73,68,192,P
142,142,male,group E,associate's degree,standard,completed,62,53,54,169,P
143,143,female,group C,associate's degree,standard,none,86,80,79,245,P
144,144,female,group C,high school,free/reduced,none,63,66,73,202,P
145,145,female,group C,some college,standard,completed,72,77,73,222,P
146,146,female,group B,some high school,free/reduced,none,47,60,47,154,P
147,147,male,group E,some high school,standard,completed,80,82,81,243,P
148,148,male,group D,some college,standard,none,70,56,52,178,P
149,149,male,group D,bachelor's degree,free/reduced,none,67,71,65,203,P
150,150,male,group C,master's degree,free/reduced,completed,76,81,81,238,P
151,151,male,group C,master's degree,standard,none,77,78,80,235,P
152,152,male,group D,some high school,free/reduced,completed,79,70,75,224,P
153,153,male,group B,some high school,standard,completed,67,57,62,186,P
154,154,female,group E,some college,free/reduced,none,71,73,72,216,P
155,155,male,group C,associate's degree,standard,none,57,60,60,177,P
156,156,male,group B,bachelor's degree,free/reduced,none,66,54,53,173,P
157,157,female,group A,master's degree,free/reduced,none,53,71,78,202,P
158,158,male,group D,associate's degree,standard,none,79,79,72,230,P
159,159,female,group D,bachelor's degree,free/reduced,completed,97,106,104,307,P
160,160,male,group D,high school,free/reduced,none,37,56,42,135,F
161,161,female,group B,associate's degree,standard,completed,62,65,67,194,P
162,162,female,group B,some high school,standard,completed,52,79,79,210,P
163,163,male,group E,bachelor's degree,standard,completed,73,57,66,196,P
164,164,male,group C,some college,free/reduced,none,75,70,75,220,P
165,165,male,group C,bachelor's degree,standard,completed,70,73,68,211,P
166,166,female,group D,some high school,standard,none,80,80,76,236,P
167,167,male,group D,some college,standard,completed,74,60,58,192,P
168,168,female,group C,associate's degree,standard,none,85,86,87,258,P
169,169,female,group C,some college,standard,none,57,66,53,176,P
170,170,male,group A,associate's degree,free/reduced,completed,79,76,90,245,P
171,171,female,group B,associate's degree,standard,completed,59,77,67,203,P
172,172,female,group B,some high school,free/reduced,none,17,40,23,80,F
173,173,male,group D,bachelor's degree,free/reduced,none,51,46,39,136,F
174,174,male,group D,some college,standard,completed,83,80,82,245,P
175,175,male,group D,master's degree,standard,none,88,90,85,263,P
176,176,female,group C,some college,standard,none,83,86,90,259,P
177,177,female,group C,some college,standard,completed,93,81,89,263,P
178,178,female,group C,high school,standard,none,65,71,65,201,P
179,179,male,group C,high school,free/reduced,none,58,51,62,171,P
180,180,female,group C,bachelor's degree,standard,none,65,69,81,215,P
181,181,female,group C,some high school,standard,none,42,66,64,172,P
182,182,male,group C,associate's degree,standard,none,96,99,92,287,P
183,183,male,group A,associate's degree,free/reduced,completed,81,81,92,254,P
184,184,male,group C,master's degree,standard,none,76,67,65,208,P
185,185,female,group C,associate's degree,standard,completed,81,87,92,260,P
186,186,female,group B,some college,free/reduced,none,39,57,58,154,F
187,187,male,group D,high school,standard,none,44,32,35,111,F
188,188,male,group A,some college,free/reduced,none,31,18,19,68,F
189,189,female,group D,some college,free/reduced,none,80,82,77,239,P
190,190,female,group B,high school,free/reduced,completed,42,51,57,150,P
191,191,female,group E,bachelor's degree,free/reduced,completed,97,104,98,299,P
192,192,female,group C,some high school,standard,none,67,76,78,221,P
193,193,female,group C,master's degree,standard,none,80,85,81,246,P
194,194,male,group A,some college,standard,none,51,45,46,142,P
195,195,male,group A,high school,standard,completed,74,78,70,222,P
196,196,male,group D,high school,standard,none,60,72,62,194,P
197,197,male,group D,some college,standard,none,60,68,63,191,P
198,198,female,group B,high school,standard,none,55,63,55,173,P
199,199,female,group C,some high school,free/reduced,none,64,85,77,226,P
200,200,male,group C,high school,standard,none,66,75,75,216,P
201,201,male,group E,bachelor's degree,standard,completed,68,70,69,207,P
202,202,male,group B,associate's degree,free/reduced,completed,66,62,66,194,P
203,203,female,group B,associate's degree,standard,none,58,60,66,184,P
204,204,female,group D,associate's degree,standard,none,76,75,76,227,P
205,205,female,group E,some college,standard,none,89,86,88,263,P
206,206,male,group C,associate's degree,standard,none,54,51,43,148,P
207,207,male,group B,some high school,standard,completed,67,73,62,202,P
208,208,female,group D,associate's degree,standard,none,71,67,71,209,P
209,209,male,group C,associate's degree,standard,none,76,78,71,225,P
210,210,male,group B,high school,free/reduced,none,64,45,45,154,P
211,211,male,group C,some college,standard,none,54,36,37,127,F
212,212,female,group C,some high school,standard,none,63,73,70,206,P
213,213,male,group C,associate's degree,standard,none,39,47,42,128,F
214,214,male,group B,some high school,standard,completed,71,72,53,196,P
215,215,female,group B,some high school,standard,none,85,87,82,254,P
216,216,female,group C,associate's degree,standard,none,93,95,92,280,P
217,217,male,group A,master's degree,free/reduced,none,71,70,80,221,P
218,218,female,group D,some college,free/reduced,completed,65,85,80,230,P
219,219,male,group D,bachelor's degree,free/reduced,none,52,43,41,136,P
220,220,female,group C,some college,free/reduced,none,63,56,61,180,P
221,221,female,group C,high school,free/reduced,none,44,61,60,165,P
222,222,male,group D,some college,free/reduced,none,55,61,47,163,P
223,223,male,group A,high school,free/reduced,none,48,55,54,157,P
224,224,female,group D,associate's degree,standard,none,51,61,59,171,P
225,225,female,group C,associate's degree,standard,completed,92,98,97,287,P
226,226,female,group C,associate's degree,standard,completed,74,82,89,245,P
227,227,male,group E,associate's degree,standard,none,73,54,70,197,P
228,228,female,group A,some college,standard,none,74,78,85,237,P
229,229,male,group C,associate's degree,standard,completed,53,61,61,175,P
230,230,male,group E,high school,standard,none,67,58,59,184,P
231,231,female,group C,some college,free/reduced,completed,65,81,95,241,P
232,232,female,group B,bachelor's degree,free/reduced,none,75,73,82,230,P
233,233,female,group D,bachelor's degree,free/reduced,none,85,92,87,264,P
234,234,female,group C,some college,standard,none,74,88,98,260,P
235,235,female,group C,associate's degree,free/reduced,completed,90,94,97,281,P
236,236,male,group C,associate's degree,free/reduced,none,47,50,61,158,P
237,237,female,group C,high school,free/reduced,none,45,69,60,174,P
238,238,female,group B,some college,free/reduced,completed,63,79,62,204,P
239,239,male,group A,some high school,standard,completed,47,31,43,121,F
240,240,male,group A,bachelor's degree,standard,completed,84,82,75,241,P
241,241,male,group B,some high school,standard,completed,55,53,55,163,P
242,242,male,group E,some college,free/reduced,none,103,85,82,270,P
243,243,female,group D,some high school,standard,none,67,82,84,233,P
244,244,male,group B,associate's degree,standard,none,80,81,60,221,P
245,245,male,group B,some college,free/reduced,none,55,50,44,149,P
246,246,male,group B,some college,free/reduced,none,43,40,33,116,F
247,247,female,group E,some college,standard,none,77,78,83,238,P
248,248,male,group C,master's degree,free/reduced,none,60,59,57,176,P
249,249,female,group B,bachelor's degree,standard,none,91,99,91,281,P
250,250,male,group C,associate's degree,free/reduced,none,81,69,62,212,P
251,251,male,group D,high school,free/reduced,none,77,65,62,204,P
252,252,male,group C,bachelor's degree,standard,completed,83,83,90,256,P
253,253,male,group C,master's degree,free/reduced,none,64,68,71,203,P
254,254,female,group E,some college,standard,none,97,97,94,288,P
255,255,female,group E,associate's degree,standard,none,52,47,53,152,P
256,256,female,group C,some college,standard,none,69,77,84,230,P
257,257,female,group A,some college,standard,none,52,64,61,177,P
258,258,female,group C,associate's degree,standard,completed,69,86,91,246,P
259,259,female,group A,some high school,free/reduced,none,41,45,41,127,P
260,260,male,group B,some high school,standard,completed,61,61,65,187,P
261,261,female,group C,associate's degree,standard,none,61,75,73,209,P
262,262,male,group B,some college,free/reduced,completed,79,71,76,226,P
263,263,male,group C,high school,standard,completed,82,72,70,224,P
264,264,female,group E,high school,free/reduced,completed,58,79,74,211,P
265,265,male,group D,associate's degree,standard,none,79,71,69,219,P
266,266,male,group E,some high school,free/reduced,completed,77,81,76,234,P
267,267,female,group B,some high school,free/reduced,none,77,84,82,243,P
268,268,female,group A,high school,free/reduced,completed,78,87,87,252,P
269,269,female,group C,bachelor's degree,standard,completed,59,86,69,214,P
270,270,female,group D,associate's degree,free/reduced,completed,56,69,76,201,P
271,271,male,group E,some college,free/reduced,completed,47,51,47,145,P
272,272,male,group B,bachelor's degree,free/reduced,none,88,75,85,248,P
273,273,male,group D,master's degree,standard,none,79,83,67,229,P
274,274,male,group C,some college,standard,none,77,74,67,218,P
275,275,female,group C,high school,free/reduced,none,35,34,39,108,F
276,276,female,group B,some high school,free/reduced,completed,71,91,95,257,P
277,277,female,group B,some high school,standard,none,73,80,87,240,P
278,278,male,group C,high school,standard,none,69,74,64,207,P
279,279,female,group C,some high school,free/reduced,none,50,66,59,175,P
280,280,male,group C,high school,standard,none,74,68,62,204,P
281,281,male,group B,some high school,standard,completed,49,53,36,138,F
282,282,female,group B,some high school,standard,none,65,74,70,209,P
283,283,female,group C,some college,standard,none,59,64,69,192,P
284,284,female,group E,master's degree,free/reduced,none,58,70,68,196,P
285,285,male,group D,some college,standard,none,72,52,58,182,P
286,286,male,group B,high school,free/reduced,none,25,28,15,68,F
287,287,female,group D,some college,free/reduced,none,44,61,66,171,P
288,288,male,group C,bachelor's degree,standard,completed,96,93,92,281,P
289,289,male,group A,some high school,standard,none,78,60,55,193,P
290,290,female,group C,some college,free/reduced,completed,62,74,67,203,P
291,291,male,group A,bachelor's degree,standard,none,58,68,61,187,P
292,292,female,group C,high school,free/reduced,none,44,68,60,172,P
293,293,male,group C,some college,free/reduced,none,42,30,29,101,F
294,294,male,group D,bachelor's degree,free/reduced,completed,76,70,84,230,P
295,295,female,group D,some college,standard,none,57,54,61,172,P
296,296,male,group C,associate's degree,free/reduced,none,78,69,60,207,P
297,297,female,group E,associate's degree,free/reduced,none,55,48,58,161,P
298,298,male,group C,some college,standard,none,66,49,32,147,F
299,299,female,group C,high school,free/reduced,none,66,68,68,202,P
300,300,female,group D,bachelor's degree,standard,completed,75,80,87,242,P
301,301,male,group D,bachelor's degree,free/reduced,none,50,42,39,131,F
302,302,male,group E,some college,standard,none,77,74,71,222,P
303,303,female,group B,some college,standard,none,15,43,33,91,F
304,304,female,group D,some college,free/reduced,none,69,90,80,239,P
305,305,female,group C,some college,free/reduced,completed,67,75,73,215,P
306,306,male,group D,associate's degree,standard,none,76,83,76,235,P
307,307,female,group C,some college,free/reduced,none,81,74,87,242,P
308,308,female,group D,some college,standard,none,72,74,73,219,P
309,309,male,group C,high school,free/reduced,none,66,57,48,171,P
310,310,male,group D,high school,standard,none,90,74,84,248,P
311,311,female,group C,high school,standard,none,58,68,73,199,P
312,312,female,group D,some high school,standard,none,54,74,86,214,P
313,313,male,group A,some high school,free/reduced,none,78,84,73,235,P
314,314,female,group E,associate's degree,standard,none,88,97,84,269,P
315,315,male,group C,associate's degree,standard,none,83,70,73,226,P
316,316,male,group B,some college,standard,none,87,65,70,222,P
317,317,male,group D,bachelor's degree,standard,none,85,69,69,223,P
318,318,male,group C,some high school,standard,completed,67,69,76,212,P
319,319,female,group E,some college,standard,none,62,65,58,185,P
320,320,female,group E,some college,standard,none,99,95,94,288,P
321,321,male,group D,high school,free/reduced,none,61,67,75,203,P
322,322,male,group C,high school,standard,none,54,42,44,140,P
323,323,female,group C,some college,standard,completed,87,90,90,267,P
324,324,female,group C,associate's degree,standard,none,84,79,78,241,P
325,325,male,group C,high school,free/reduced,completed,55,44,48,147,P
326,326,male,group D,associate's degree,free/reduced,none,78,81,71,230,P
327,327,male,group C,associate's degree,standard,none,49,44,48,141,P
328,328,female,group C,master's degree,standard,none,83,71,74,228,P
329,329,female,group E,master's degree,standard,none,65,73,70,208,P
330,330,male,group A,associate's degree,free/reduced,completed,34,56,55,145,F
331,331,female,group E,bachelor's degree,standard,completed,75,73,69,217,P
332,332,female,group D,associate's degree,standard,none,72,79,76,227,P
333,333,male,group C,bachelor's degree,standard,completed,74,79,65,218,P
334,334,male,group A,some high school,standard,none,57,26,31,114,F
335,335,female,group B,some high school,standard,completed,59,74,73,206,P
336,336,male,group D,high school,standard,none,47,39,37,123,F
337,337,female,group D,high school,free/reduced,none,78,87,84,249,P
338,338,male,group D,associate's degree,standard,none,80,69,66,215,P
339,339,female,group C,high school,free/reduced,none,57,69,63,189,P
340,340,male,group D,some high school,standard,none,71,67,60,198,P
341,341,female,group C,high school,free/reduced,none,41,47,46,134,P
342,342,male,group A,bachelor's degree,standard,none,58,60,58,176,P
343,343,male,group B,some high school,free/reduced,none,50,52,42,144,P
344,344,female,group D,master's degree,standard,none,76,76,76,228,P
345,345,male,group E,bachelor's degree,standard,none,76,58,70,204,P
346,346,female,group C,some college,free/reduced,none,24,37,26,87,F
347,347,female,group B,master's degree,free/reduced,completed,57,76,86,219,P
348,348,male,group C,high school,standard,none,55,55,54,164,P
349,349,female,group C,some college,standard,none,78,80,84,242,P
350,350,male,group C,some college,standard,none,74,75,57,206,P
351,351,female,group D,some college,free/reduced,none,54,79,62,195,P
352,352,female,group D,some college,free/reduced,none,64,81,72,217,P
353,353,male,group B,high school,standard,none,54,61,66,181,P
354,354,female,group E,bachelor's degree,standard,none,95,97,93,285,P
355,355,female,group C,associate's degree,standard,completed,101,91,98,290,P
356,356,male,group C,some college,standard,none,67,59,62,188,P
357,357,female,group C,some high school,free/reduced,completed,44,65,58,167,P
358,358,male,group D,some college,standard,none,77,59,64,200,P
359,359,male,group D,high school,free/reduced,completed,78,73,66,217,P
360,360,female,group D,associate's degree,free/reduced,completed,52,80,80,212,P
361,361,female,group C,associate's degree,standard,none,50,45,52,147,P
362,362,female,group D,high school,standard,none,45,68,66,179,P
363,363,male,group A,some college,free/reduced,completed,87,82,86,255,P
364,364,male,group D,bachelor's degree,standard,none,88,81,84,253,P
365,365,female,group E,high school,standard,none,45,56,50,151,P
366,366,female,group C,associate's degree,free/reduced,none,62,78,61,201,P
367,367,female,group B,high school,standard,completed,75,77,71,223,P
368,368,female,group E,associate's degree,standard,completed,88,93,87,268,P
369,369,male,group C,bachelor's degree,standard,completed,91,87,72,250,P
370,370,male,group C,bachelor's degree,standard,none,74,75,73,222,P
371,371,female,group C,some college,free/reduced,none,32,47,42,121,F
372,372,female,group E,bachelor's degree,free/reduced,none,59,66,54,179,P
373,373,female,group C,some college,standard,completed,90,94,97,281,P
374,374,male,group E,associate's degree,free/reduced,completed,80,67,71,218,P
375,375,female,group D,associate's degree,standard,none,57,72,73,202,P
376,376,female,group C,associate's degree,standard,none,67,69,61,197,P
377,377,male,group D,high school,free/reduced,none,68,48,57,173,P
378,378,female,group C,high school,free/reduced,none,44,38,52,134,F
379,379,female,group B,associate's degree,standard,none,74,85,69,228,P
380,380,male,group C,bachelor's degree,standard,none,68,62,58,188,P
381,381,female,group D,some college,standard,none,65,60,66,191,P
382,382,female,group E,associate's degree,standard,completed,80,83,95,258,P
383,383,female,group C,bachelor's degree,free/reduced,completed,47,51,53,151,P
384,384,female,group B,associate's degree,standard,none,80,89,80,249,P
385,385,male,group C,some high school,free/reduced,completed,51,40,35,126,F
386,386,female,group C,some college,standard,completed,65,83,80,228,P
387,387,male,group B,some college,free/reduced,none,77,72,65,214,P
388,388,female,group B,some college,free/reduced,none,69,78,76,223,P
389,389,male,group C,high school,standard,none,86,70,68,224,P
390,390,female,group E,bachelor's degree,free/reduced,completed,95,97,101,293,P
391,391,female,group C,some college,standard,completed,56,86,75,217,P
392,392,female,group D,associate's degree,standard,completed,77,70,78,225,P
393,393,male,group C,master's degree,standard,none,84,85,75,244,P
394,394,male,group C,some high school,free/reduced,completed,52,64,62,178,P
395,395,female,group C,associate's degree,standard,completed,99,97,97,293,P
396,396,male,group A,high school,standard,none,54,41,53,148,P
397,397,male,group D,associate's degree,standard,completed,86,80,82,248,P
398,398,female,group D,bachelor's degree,free/reduced,none,80,83,87,250,P
399,399,male,group B,some college,standard,none,49,45,42,136,P
400,400,female,group B,some high school,standard,none,80,82,84,246,P
401,401,female,group C,some college,standard,none,59,72,68,199,P
402,402,male,group D,some high school,standard,none,79,75,78,232,P
403,403,male,group B,associate's degree,free/reduced,completed,64,75,59,198,P
404,404,male,group D,some high school,standard,completed,69,64,67,200,P
405,405,male,group E,some high school,standard,completed,70,65,57,192,P
406,406,female,group C,associate's degree,standard,completed,59,72,82,213,P
407,407,female,group D,some high school,free/reduced,none,49,56,62,167,P
408,408,male,group A,some high school,standard,completed,63,68,74,205,P
409,409,female,group D,bachelor's degree,standard,completed,68,77,87,232,P
410,410,male,group C,high school,standard,none,74,51,45,170,P
411,411,male,group E,associate's degree,standard,completed,60,54,57,171,P
412,412,male,group C,high school,standard,completed,49,42,44,135,P
413,413,female,group D,some high school,standard,none,81,86,79,246,P
414,414,male,group C,high school,standard,none,74,67,68,209,P
415,415,male,group D,high school,standard,none,80,66,65,211,P
416,416,female,group A,high school,free/reduced,completed,57,49,68,174,P
417,417,male,group C,some college,standard,none,73,60,59,192,P
418,418,male,group E,some high school,standard,completed,68,46,56,170,P
419,419,female,group A,some high school,standard,completed,62,88,79,229,P
420,420,female,group D,some high school,standard,completed,87,89,82,258,P
421,421,male,group B,some college,free/reduced,completed,56,64,61,181,P
422,422,male,group C,bachelor's degree,free/reduced,none,53,59,64,176,P
423,423,female,group B,high school,free/reduced,none,68,70,78,216,P
424,424,female,group D,some college,free/reduced,none,57,79,80,216,P
425,425,male,group D,high school,free/reduced,none,56,57,52,165,P
426,426,female,group E,bachelor's degree,free/reduced,none,53,57,57,167,P
427,427,male,group D,master's degree,standard,none,82,77,73,232,P
428,428,female,group A,high school,standard,completed,78,86,82,246,P
429,429,male,group D,associate's degree,standard,none,80,72,67,219,P
430,430,male,group C,associate's degree,standard,none,75,65,61,201,P
431,431,male,group E,some high school,standard,none,90,86,78,254,P
432,432,female,group D,master's degree,standard,completed,72,66,80,218,P
433,433,female,group C,associate's degree,standard,completed,75,83,83,241,P
434,434,female,group D,some college,standard,none,59,72,69,200,P
435,435,female,group C,associate's degree,standard,none,58,82,75,215,P
436,436,female,group B,associate's degree,free/reduced,none,59,68,71,198,P
437,437,female,group C,high school,standard,none,33,36,37,106,F
438,438,male,group A,associate's degree,standard,completed,97,88,92,277,P
439,439,male,group B,some college,free/reduced,completed,54,62,72,188,P
440,440,female,group C,some college,standard,completed,76,89,87,252,P
441,441,female,group B,some high school,free/reduced,none,21,37,28,86,F
442,442,male,group D,some college,standard,completed,67,80,68,215,P
443,443,female,group C,associate's degree,standard,none,85,84,84,253,P
444,444,female,group D,associate's degree,free/reduced,none,52,75,72,199,P
445,445,female,group D,master's degree,standard,completed,72,77,75,224,P
446,446,female,group E,some college,standard,none,84,91,94,269,P
447,447,female,group C,associate's degree,standard,none,85,79,74,238,P
448,448,female,group C,some college,standard,completed,71,80,71,222,P
449,449,female,group D,some high school,standard,none,55,49,59,163,P
450,450,male,group A,some high school,standard,completed,60,63,72,195,P
451,451,male,group D,some college,free/reduced,completed,74,63,59,196,P
452,452,female,group A,some high school,standard,completed,91,93,85,269,P
453,453,female,group E,high school,standard,completed,76,74,80,230,P
454,454,female,group D,some college,free/reduced,completed,59,54,74,187,P
455,455,female,group D,some college,standard,completed,85,95,98,278,P
456,456,male,group B,associate's degree,free/reduced,none,67,64,56,187,P
457,457,male,group D,some college,standard,none,78,67,74,219,P
458,458,male,group E,associate's degree,standard,none,65,67,68,200,P
459,459,male,group E,some college,standard,none,68,69,65,202,P
460,460,female,group B,high school,free/reduced,completed,47,46,59,152,P
