,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
94,male,group C,associate's degree,standard,completed,89,102,96
95,male,group A,associate's degree,standard,none,61,56,59
96,female,group C,some college,standard,completed,73,92,86
97,male,group C,bachelor's degree,free/reduced,completed,69,74,72
98,female,group C,associate's degree,free/reduced,completed,69,75,71
99,female,group C,bachelor's degree,standard,completed,64,79,74
100,male,group C,high school,free/reduced,completed,52,52,49
101,female,group B,high school,standard,none,49,49,54
102,male,group B,bachelor's degree,free/reduced,none,92,78,84
103,male,group D,some college,standard,none,75,55,65
104,female,group A,some college,standard,completed,75,72,78
105,male,group B,bachelor's degree,free/reduced,none,78,63,64
106,female,group B,some college,standard,none,56,74,65
107,male,group E,some college,standard,none,69,78,65
108,female,group D,associate's degree,standard,none,64,71,73
109,male,group E,some high school,standard,completed,93,79,71
110,male,group C,some college,standard,none,68,62,66
111,male,group E,some college,standard,none,56,46,39
112,male,group D,high school,free/reduced,none,77,72,73
113,female,group A,high school,standard,none,55,78,72
114,female,group E,associate's degree,standard,none,70,65,70
115,female,group C,associate's degree,standard,completed,71,90,84
116,male,group E,associate's degree,free/reduced,completed,41,39,43
117,female,group D,high school,free/reduced,none,83,91,87
118,male,group A,bachelor's degree,standard,none,72,60,68
119,female,group D,some college,free/reduced,none,85,89,80
120,female,group E,high school,standard,none,75,92,70
121,female,group D,some high school,standard,none,74,88,88
122,male,group E,master's degree,standard,none,95,80,81
123,male,group D,bachelor's degree,standard,none,79,79,75
124,male,group B,high school,free/reduced,none,36,35,23
125,male,group D,master's degree,standard,none,77,76,72
126,male,group B,some college,free/reduced,none,45,58,46
127,male,group B,some college,standard,none,72,61,69
128,male,group B,bachelor's degree,free/reduced,none,43,48,41
129,male,group C,some college,standard,none,91,72,81
130,female,group C,associate's degree,free/reduced,none,55,67,63
131,female,group B,master's degree,free/reduced,completed,74,103,90
132,female,group C,some college,standard,none,54,62,67
133,male,group E,some high school,standard,completed,77,77,71
134,male,group E,associate's degree,free/reduced,completed,103,95,91
135,female,group B,associate's degree,free/reduced,completed,74,89,90
136,female,group E,high school,standard,none,100,94,89
137,male,group A,bachelor's degree,standard,completed,83,80,75
138,female,group D,some college,standard,none,100,94,103
139,male,group B,associate's degree,free/reduced,none,46,46,44
140,male,group E,associate's degree,standard,completed,56,61,52
141,male,group B,some college,free/reduced,completed,51,73,68
142,male,group E,associate's degree,standard,completed,62,53,54
143,female,group C,associate's degree,standard,none,86,80,79
144,female,group C,high school,free/reduced,none,63,66,73
145,female,group C,some college,standard,completed,72,77,73
146,female,group B,some high school,free/reduced,none,47,60,47
147,male,group E,some high school,standard,completed,80,82,81
148,male,group D,some college,standard,none,70,56,52
149,male,group D,bachelor's degree,free/reduced,none,67,71,65
150,male,group C,master's degree,free/reduced,completed,76,81,81
151,male,group C,master's degree,standard,none,77,78,80
152,male,group D,some high school,free/reduced,completed,79,70,75
153,male,group B,some high school,standard,completed,67,57,62
154,female,group E,some college,free/reduced,none,71,73,72
155,male,group C,associate's degree,standard,none,57,60,60
156,male,group B,bachelor's degree,free/reduced,none,66,54,53
157,female,group A,master's degree,free/reduced,none,53,71,78
158,male,group D,associate's degree,standard,none,79,79,72
159,female,group D,bachelor's degree,free/reduced,completed,97,106,104
160,male,group D,high school,free/reduced,none,37,56,42
161,female,group B,associate's degree,standard,completed,62,65,67
162,female,group B,some high school,standard,completed,52,79,79
163,male,group E,bachelor's degree,standard,completed,73,57,66
164,male,group C,some college,free/reduced,none,75,70,75
165,male,group C,bachelor's degree,standard,completed,70,73,68
166,female,group D,some high school,standard,none,80,80,76
167,male,group D,some college,standard,completed,74,60,58
168,female,group C,associate's degree,standard,none,85,86,87
169,female,group C,some college,standard,none,57,66,53
170,male,group A,associate's degree,free/reduced,completed,79,76,90
171,female,group B,associate's degree,standard,completed,59,77,67
172,female,group B,some high school,free/reduced,none,17,40,23
173,male,group D,bachelor's degree,free/reduced,none,51,46,39
174,male,group D,some college,standard,completed,83,80,82
175,male,group D,master's degree,standard,none,88,90,85
176,female,group C,some college,standard,none,83,86,90
177,female,group C,some college,standard,completed,93,81,89
178,female,group C,high school,standard,none,65,71,65
179,male,group C,high school,free/reduced,none,58,51,62
180,female,group C,bachelor's degree,standard,none,65,69,81
181,female,group C,some high school,standard,none,42,66,64
182,male,group C,associate's degree,standard,none,96,99,92
183,male,group A,associate's degree,free/reduced,completed,81,81,92
184,male,group C,master's degree,standard,none,76,67,65
185,female,group C,associate's degree,standard,completed,81,87,92
186,female,group B,some college,free/reduced,none,39,57,58
187,male,group D,high school,standard,none,44,32,35
188,male,group A,some college,free/reduced,none,31,18,19
189,female,group D,some college,free/reduced,none,80,82,77
190,female,group B,high school,free/reduced,completed,42,51,57
191,female,group E,bachelor's degree,free/reduced,completed,97,104,98
192,female,group C,some high school,standard,none,67,76,78
193,female,group C,master's degree,standard,none,80,85,81
194,male,group A,some college,standard,none,51,45,46
195,male,group A,high school,standard,completed,74,78,70
196,male,group D,high school,standard,none,60,72,62
197,male,group D,some college,standard,none,60,68,63
198,female,group B,high school,standard,none,55,63,55
199,female,group C,some high school,free/reduced,none,64,85,77
200,male,group C,high school,standard,none,66,75,75
201,male,group E,bachelor's degree,standard,completed,68,70,69
202,male,group B,associate's degree,free/reduced,completed,66,62,66
203,female,group B,associate's degree,standard,none,58,60,66
204,female,group D,associate's degree,standard,none,76,75,76
205,female,group E,some college,standard,none,89,86,88
206,male,group C,associate's degree,standard,none,54,51,43
207,male,group B,some high school,standard,completed,67,73,62
208,female,group D,associate's degree,standard,none,71,67,71
209,male,group C,associate's degree,standard,none,76,78,71
210,male,group B,high school,free/reduced,none,64,45,45
211,male,group C,some college,standard,none,54,36,37
212,female,group C,some high school,standard,none,63,73,70
213,male,group C,associate's degree,standard,none,39,47,42
214,male,group B,some high school,standard,completed,71,72,53
215,female,group B,some high school,standard,none,85,87,82
216,female,group C,associate's degree,standard,none,93,95,92
217,male,group A,master's degree,free/reduced,none,71,70,80
218,female,group D,some college,free/reduced,completed,65,85,80
219,male,group D,bachelor's degree,free/reduced,none,52,43,41
220,female,group C,some college,free/reduced,none,63,56,61
221,female,group C,high school,free/reduced,none,44,61,60
222,male,group D,some college,free/reduced,none,55,61,47
223,male,group A,high school,free/reduced,none,48,55,54
224,female,group D,associate's degree,standard,none,51,61,59
225,female,group C,associate's degree,standard,completed,92,98,97
226,female,group C,associate's degree,standard,completed,74,82,89
227,male,group E,associate's degree,standard,none,73,54,70
228,female,group A,some college,standard,none,74,78,85
229,male,group C,associate's degree,standard,completed,53,61,61
230,male,group E,high school,standard,none,67,58,59
231,female,group C,some college,free/reduced,completed,65,81,95
232,female,group B,bachelor's degree,free/reduced,none,75,73,82
233,female,group D,bachelor's degree,free/reduced,none,85,92,87
234,female,group C,some college,standard,none,74,88,98
235,female,group C,associate's degree,free/reduced,completed,90,94,97
236,male,group C,associate's degree,free/reduced,none,47,50,61
237,female,group C,high school,free/reduced,none,45,69,60
238,female,group B,some college,free/reduced,completed,63,79,62
239,male,group A,some high school,standard,completed,47,31,43
240,male,group A,bachelor's degree,standard,completed,84,82,75
241,male,group B,some high school,standard,completed,55,53,55
242,male,group E,some college,free/reduced,none,103,85,82
243,female,group D,some high school,standard,none,67,82,84
244,male,group B,associate's degree,standard,none,80,81,60
245,male,group B,some college,free/reduced,none,55,50,44
246,male,group B,some college,free/reduced,none,43,40,33
247,female,group E,some college,standard,none,77,78,83
248,male,group C,master's degree,free/reduced,none,60,59,57
249,female,group B,bachelor's degree,standard,none,91,99,91
250,male,group C,associate's degree,free/reduced,none,81,69,62
251,male,group D,high school,free/reduced,none,77,65,62
252,male,group C,bachelor's degree,standard,completed,83,83,90
253,male,group C,master's degree,free/reduced,none,64,68,71
254,female,group E,some college,standard,none,97,97,94
255,female,group E,associate's degree,standard,none,52,47,53
256,female,group C,some college,standard,none,69,77,84
257,female,group A,some college,standard,none,52,64,61
258,female,group C,associate's degree,standard,completed,69,86,91
259,female,group A,some high school,free/reduced,none,41,45,41
260,male,group B,some high school,standard,completed,61,61,65
261,female,group C,associate's degree,standard,none,61,75,73
262,male,group B,some college,free/reduced,completed,79,71,76
263,male,group C,high school,standard,completed,82,72,70
264,female,group E,high school,free/reduced,completed,58,79,74
265,male,group D,associate's degree,standard,none,79,71,69
266,male,group E,some high school,free/reduced,completed,77,81,76
267,female,group B,some high school,free/reduced,none,77,84,82
268,female,group A,high school,free/reduced,completed,78,87,87
269,female,group C,bachelor's degree,standard,completed,59,86,69
270,female,group D,associate's degree,free/reduced,completed,56,69,76
271,male,group E,some college,free/reduced,completed,47,51,47
272,male,group B,bachelor's degree,free/reduced,none,88,75,85
273,male,group D,master's degree,standard,none,79,83,67
274,male,group C,some college,standard,none,77,74,67
275,female,group C,high school,free/reduced,none,35,34,39
276,female,group B,some high school,free/reduced,completed,71,91,95
277,female,group B,some high school,standard,none,73,80,87
278,male,group C,high school,standard,none,69,74,64
279,female,group C,some high school,free/reduced,none,50,66,59
280,male,group C,high school,standard,none,74,68,62
281,male,group B,some high school,standard,completed,49,53,36
282,female,group B,some high school,standard,none,65,74,70
283,female,group C,some college,standard,none,59,64,69
284,female,group E,master's degree,free/reduced,none,58,70,68
285,male,group D,some college,standard,none,72,52,58
286,male,group B,high school,free/reduced,none,25,28,15
287,female,group D,some college,free/reduced,none,44,61,66
288,male,group C,bachelor's degree,standard,completed,96,93,92
289,male,group A,some high school,standard,none,78,60,55
290,female,group C,some college,free/reduced,completed,62,74,67
291,male,group A,bachelor's degree,standard,none,58,68,61
292,female,group C,high school,free/reduced,none,44,68,60
293,male,group C,some college,free/reduced,none,42,30,29
294,male,group D,bachelor's degree,free/reduced,completed,76,70,84
295,female,group D,some college,standard,none,57,54,61
296,male,group C,associate's degree,free/reduced,none,78,69,60
297,female,group E,associate's degree,free/reduced,none,55,48,58
298,male,group C,some college,standard,none,66,49,32
299,female,group C,high school,free/reduced,none,66,68,68
300,female,group D,bachelor's degree,standard,completed,75,80,87
301,male,group D,bachelor's degree,free/reduced,none,50,42,39
302,male,group E,some college,standard,none,77,74,71
303,female,group B,some college,standard,none,15,43,33
304,female,group D,some college,free/reduced,none,69,90,80
305,female,group C,some college,free/reduced,completed,67,75,73
306,male,group D,associate's degree,standard,none,76,83,76
307,female,group C,some college,free/reduced,none,81,74,87
308,female,group D,some college,standard,none,72,74,73
309,male,group C,high school,free/reduced,none,66,57,48
310,male,group D,high school,standard,none,90,74,84
311,female,group C,high school,standard,none,58,68,73
312,female,group D,some high school,standard,none,54,74,86
313,male,group A,some high school,free/reduced,none,78,84,73
314,female,group E,associate's degree,standard,none,88,97,84
315,male,group C,associate's degree,standard,none,83,70,73
316,male,group B,some college,standard,none,87,65,70
317,male,group D,bachelor's degree,standard,none,85,69,69
318,male,group C,some high school,standard,completed,67,69,76
319,female,group E,some college,standard,none,62,65,58
320,female,group E,some college,standard,none,99,95,94
321,male,group D,high school,free/reduced,none,61,67,75
322,male,group C,high school,standard,none,54,42,44
323,female,group C,some college,standard,completed,87,90,90
324,female,group C,associate's degree,standard,none,84,79,78
325,male,group C,high school,free/reduced,completed,55,44,48
326,male,group D,associate's degree,free/reduced,none,78,81,71
327,male,group C,associate's degree,standard,none,49,44,48
328,female,group C,master's degree,standard,none,83,71,74
329,female,group E,master's degree,standard,none,65,73,70
330,male,group A,associate's degree,free/reduced,completed,34,56,55
331,female,group E,bachelor's degree,standard,completed,75,73,69
332,female,group D,associate's degree,standard,none,72,79,76
333,male,group C,bachelor's degree,standard,completed,74,79,65
334,male,group A,some high school,standard,none,57,26,31
335,female,group B,some high school,standard,completed,59,74,73
336,male,group D,high school,standard,none,47,39,37
337,female,group D,high school,free/reduced,none,78,87,84
338,male,group D,associate's degree,standard,none,80,69,66
339,female,group C,high school,free/reduced,none,57,69,63
340,male,group D,some high school,standard,none,71,67,60
341,female,group C,high school,free/reduced,none,41,47,46
342,male,group A,bachelor's degree,standard,none,58,60,58
343,male,group B,some high school,free/reduced,none,50,52,42
344,female,group D,master's degree,standard,none,76,76,76
345,male,group E,bachelor's degree,standard,none,76,58,70
346,female,group C,some college,free/reduced,none,24,37,26
347,female,group B,master's degree,free/reduced,completed,57,76,86
348,male,group C,high school,standard,none,55,55,54
349,female,group C,some college,standard,none,78,80,84
350,male,group C,some college,standard,none,74,75,57
351,female,group D,some college,free/reduced,none,54,79,62
352,female,group D,some college,free/reduced,none,64,81,72
353,male,group B,high school,standard,none,54,61,66
354,female,group E,bachelor's degree,standard,none,95,97,93
355,female,group C,associate's degree,standard,completed,101,91,98
356,male,group C,some college,standard,none,67,59,62
357,female,group C,some high school,free/reduced,completed,44,65,58
358,male,group D,some college,standard,none,77,59,64
359,male,group D,high school,free/reduced,completed,78,73,66
360,female,group D,associate's degree,free/reduced,completed,52,80,80
361,female,group C,associate's degree,standard,none,50,45,52
362,female,group D,high school,standard,none,45,68,66
363,male,group A,some college,free/reduced,completed,87,82,86
364,male,group D,bachelor's degree,standard,none,88,81,84
365,female,group E,high school,standard,none,45,56,50
366,female,group C,associate's degree,free/reduced,none,62,78,61
367,female,group B,high school,standard,completed,75,77,71
368,female,group E,associate's degree,standard,completed,88,93,87
369,male,group C,bachelor's degree,standard,completed,91,87,72
370,male,group C,bachelor's degree,standard,none,74,75,73
371,female,group C,some college,free/reduced,none,32,47,42
372,female,group E,bachelor's degree,free/reduced,none,59,66,54
373,female,group C,some college,standard,completed,90,94,97
374,male,group E,associate's degree,free/reduced,completed,80,67,71
375,female,group D,associate's degree,standard,none,57,72,73
376,female,group C,associate's degree,standard,none,67,69,61
377,male,group D,high school,free/reduced,none,68,48,57
378,female,group C,high school,free/reduced,none,44,38,52
379,female,group B,associate's degree,standard,none,74,85,69
380,male,group C,bachelor's degree,standard,none,68,62,58
381,female,group D,some college,standard,none,65,60,66
382,female,group E,associate's degree,standard,completed,80,83,95
383,female,group C,bachelor's degree,free/reduced,completed,47,51,53
384,female,group B,associate's degree,standard,none,80,89,80
385,male,group C,some high school,free/reduced,completed,51,40,35
386,female,group C,some college,standard,completed,65,83,80
387,male,group B,some college,free/reduced,none,77,72,65
388,female,group B,some college,free/reduced,none,69,78,76
389,male,group C,high school,standard,none,86,70,68
390,female,group E,bachelor's degree,free/reduced,completed,95,97,101
391,female,group C,some college,standard,completed,56,86,75
392,female,group D,associate's degree,standard,completed,77,70,78
393,male,group C,master's degree,standard,none,84,85,75
394,male,group C,some high school,free/reduced,completed,52,64,62
395,female,group C,associate's degree,standard,completed,99,97,97
396,male,group A,high school,standard,none,54,41,53
397,male,group D,associate's degree,standard,completed,86,80,82
398,female,group D,bachelor's degree,free/reduced,none,80,83,87
399,male,group B,some college,standard,none,49,45,42
400,female,group B,some high school,standard,none,80,82,84
401,female,group C,some college,standard,none,59,72,68
402,male,group D,some high school,standard,none,79,75,78
403,male,group B,associate's degree,free/reduced,completed,64,75,59
404,male,group D,some high school,standard,completed,69,64,67
405,male,group E,some high school,standard,completed,70,65,57
406,female,group C,associate's degree,standard,completed,59,72,82
407,female,group D,some high school,free/reduced,none,49,56,62
408,male,group A,some high school,standard,completed,63,68,74
409,female,group D,bachelor's degree,standard,completed,68,77,87
410,male,group C,high school,standard,none,74,51,45
411,male,group E,associate's degree,standard,completed,60,54,57
412,male,group C,high school,standard,completed,49,42,44
413,female,group D,some high school,standard,none,81,86,79
414,male,group C,high school,standard,none,74,67,68
415,male,group D,high school,standard,none,80,66,65
416,female,group A,high school,free/reduced,completed,57,49,68
417,male,group C,some college,standard,none,73,60,59
418,male,group E,some high school,standard,completed,68,46,56
419,female,group A,some high school,standard,completed,62,88,79
420,female,group D,some high school,standard,completed,87,89,82
421,male,group B,some college,free/reduced,completed,56,64,61
422,male,group C,bachelor's degree,free/reduced,none,53,59,64
423,female,group B,high school,free/reduced,none,68,70,78
424,female,group D,some college,free/reduced,none,57,79,80
425,male,group D,high school,free/reduced,none,56,57,52
426,female,group E,bachelor's degree,free/reduced,none,53,57,57
427,male,group D,master's degree,standard,none,82,77,73
428,female,group A,high school,standard,completed,78,86,82
429,male,group D,associate's degree,standard,none,80,72,67
430,male,group C,associate's degree,standard,none,75,65,61
431,male,group E,some high school,standard,none,90,86,78
432,female,group D,master's degree,standard,completed,72,66,80
433,female,group C,associate's degree,standard,completed,75,83,83
434,female,group D,some college,standard,none,59,72,69
435,female,group C,associate's degree,standard,none,58,82,75
436,female,group B,associate's degree,free/reduced,none,59,68,71
437,female,group C,high school,standard,none,33,36,37
438,male,group A,associate's degree,standard,completed,97,88,92
439,male,group B,some college,free/reduced,completed,54,62,72
440,female,group C,some college,standard,completed,76,89,87
441,female,group B,some high school,free/reduced,none,21,37,28
442,male,group D,some college,standard,completed,67,80,68
443,female,group C,associate's degree,standard,none,85,84,84
444,female,group D,associate's degree,free/reduced,none,52,75,72
445,female,group D,master's degree,standard,completed,72,77,75
446,female,group E,some college,standard,none,84,91,94
447,female,group C,associate's degree,standard,none,85,79,74
448,female,group C,some college,standard,completed,71,80,71
449,female,group D,some high school,standard,none,55,49,59
450,male,group A,some high school,standard,completed,60,63,72
451,male,group D,some college,free/reduced,completed,74,63,59
452,female,group A,some high school,standard,completed,91,93,85
453,female,group E,high school,standard,completed,76,74,80
454,female,group D,some college,free/reduced,completed,59,54,74
455,female,group D,some college,standard,completed,85,95,98
456,male,group B,associate's degree,free/reduced,none,67,64,56
457,male,group D,some college,standard,none,78,67,74
458,male,group E,associate's degree,standard,none,65,67,68
459,male,group E,some college,standard,none,68,69,65
460,female,group B,high school,free/reduced,completed,47,46,59
461,male,group C,associate's degree,standard,none,77,76,72
462,female,group C,associate's degree,free/reduced,none,54,66,72
463,female,group B,master's degree,standard,none,75,89,89
464,female,group E,master's degree,standard,none,81,88,91
465,male,group B,bachelor's degree,free/reduced,none,80,50,54
466,male,group B,associate's degree,standard,completed,63,61,69
467,female,group C,some college,free/reduced,completed,68,79,83
468,male,group D,some high school,standard,none,91,80,74
469,male,group E,bachelor's degree,standard,completed,81,63,57
470,male,group C,high school,standard,none,72,59,49
471,female,group A,associate's degree,free/reduced,none,71,79,70
472,male,group E,some college,standard,none,65,52,48
473,male,group B,associate's degree,standard,none,52,39,45
474,male,group D,some college,standard,none,90,74,74
475,male,group B,high school,standard,none,62,61,59
476,female,group D,high school,standard,none,75,82,82
477,male,group B,some college,free/reduced,none,78,70,72
478,male,group A,bachelor's degree,free/reduced,completed,48,65,63
479,female,group D,some college,free/reduced,completed,58,63,70
480,male,group D,some high school,standard,none,53,52,45
481,male,group D,some college,standard,none,64,60,61
482,male,group C,associate's degree,standard,completed,66,73,71
483,male,group C,master's degree,standard,none,68,62,63
484,female,group C,some college,standard,none,56,62,68
485,female,group D,some college,standard,completed,79,81,97
486,female,group C,some college,standard,none,57,71,63
487,female,group D,associate's degree,standard,none,72,83,88
488,male,group A,associate's degree,standard,none,53,54,46
489,male,group D,some college,standard,none,86,65,75
490,female,group B,associate's degree,standard,completed,62,88,95
491,male,group C,high school,standard,none,85,78,64
492,male,group D,master's degree,standard,none,100,80,83
493,female,group C,high school,free/reduced,none,41,66,60
494,male,group C,high school,standard,completed,55,56,57
495,female,group B,some college,standard,none,85,85,90
496,female,group C,some college,free/reduced,none,63,63,64
497,male,group C,associate's degree,standard,none,50,59,47
498,male,group B,high school,standard,none,49,54,55
499,male,group C,associate's degree,free/reduced,completed,53,50,56
500,male,group C,associate's degree,free/reduced,completed,42,46,51
501,female,group E,master's degree,standard,none,82,93,93
502,male,group B,bachelor's degree,free/reduced,none,64,68,55
503,female,group C,associate's degree,standard,completed,62,83,81
504,female,group C,high school,standard,none,63,70,67
505,female,group E,associate's degree,free/reduced,completed,66,68,66
506,male,group C,associate's degree,standard,completed,89,79,82
507,male,group C,high school,standard,completed,69,69,71
508,female,group B,some high school,free/reduced,none,63,80,76
509,male,group C,high school,free/reduced,none,62,63,52
510,female,group C,associate's degree,standard,none,82,82,96
511,female,group C,some college,free/reduced,none,54,69,57
512,male,group D,high school,free/reduced,none,38,48,46
513,male,group C,some high school,standard,completed,70,56,47
514,male,group D,bachelor's degree,standard,none,79,74,69
515,female,group B,high school,standard,completed,68,92,77
516,male,group C,master's degree,free/reduced,completed,47,41,44
517,female,group E,master's degree,free/reduced,none,48,64,50
518,male,group C,associate's degree,standard,completed,94,93,95
519,female,group D,associate's degree,free/reduced,none,55,66,63
520,male,group E,some college,standard,none,76,70,69
521,female,group B,associate's degree,free/reduced,none,50,66,65
522,female,group B,high school,standard,none,59,58,61
523,female,group C,high school,free/reduced,none,31,40,41
524,female,group D,some college,free/reduced,none,76,83,80
525,male,group A,associate's degree,standard,none,56,50,39
526,male,group A,some high school,standard,none,55,47,36
527,female,group C,some college,free/reduced,completed,39,60,67
528,female,group B,master's degree,free/reduced,completed,72,99,92
529,female,group D,some college,free/reduced,none,59,73,64
530,male,group D,high school,standard,none,74,78,72
531,female,group C,high school,standard,none,73,76,81
532,female,group B,associate's degree,free/reduced,completed,74,92,83
533,female,group A,some high school,free/reduced,none,58,74,65
534,male,group B,high school,standard,none,61,49,52
535,female,group B,high school,standard,none,45,56,49
536,female,group B,bachelor's degree,standard,none,65,85,78
537,female,group C,high school,standard,none,48,61,48
538,male,group B,some college,standard,completed,70,73,67
539,female,group E,some high school,free/reduced,none,29,33,39
540,female,group C,some high school,standard,completed,56,50,62
541,female,group A,some high school,free/reduced,none,54,41,46
542,male,group C,master's degree,standard,none,88,74,74
543,female,group D,some high school,standard,completed,61,67,72
544,male,group B,some high school,standard,completed,60,50,50
545,male,group C,bachelor's degree,standard,completed,88,88,88
546,male,group E,associate's degree,standard,completed,91,88,88
547,female,group C,associate's degree,standard,completed,63,74,74
548,female,group D,some high school,standard,completed,67,80,80
549,male,group B,some high school,standard,completed,72,61,60
550,female,group B,some high school,standard,none,75,79,74
551,male,group B,some college,standard,none,71,63,70
552,male,group D,associate's degree,standard,completed,65,68,63
553,female,group B,associate's degree,standard,none,53,71,72
554,male,group D,some college,free/reduced,none,64,60,62
555,female,group D,some college,standard,none,65,65,62
556,male,group A,bachelor's degree,standard,none,70,73,61
557,female,group D,master's degree,standard,none,61,59,61
558,male,group C,high school,free/reduced,completed,61,54,55
559,male,group C,associate's degree,free/reduced,none,86,70,72
560,male,group E,some college,free/reduced,none,101,88,85
561,female,group D,some college,standard,completed,74,74,76
562,female,group E,some college,standard,completed,86,89,92
563,male,group D,master's degree,standard,none,82,79,77
564,female,group D,some college,free/reduced,none,53,71,68
565,female,group E,some college,standard,completed,58,68,72
566,female,group C,associate's degree,free/reduced,none,54,62,59
567,female,group E,some college,standard,completed,71,76,75
568,female,group B,associate's degree,free/reduced,none,51,64,63
569,female,group E,associate's degree,free/reduced,completed,54,60,74
570,male,group C,some college,standard,none,75,81,56
571,male,group C,high school,standard,none,73,71,70
572,male,group B,bachelor's degree,free/reduced,none,44,49,50
573,female,group A,associate's degree,standard,none,82,87,94
574,female,group B,some high school,standard,none,69,61,67
575,female,group E,some college,free/reduced,none,55,61,59
576,female,group D,master's degree,free/reduced,completed,82,101,101
577,female,group B,high school,free/reduced,none,51,71,71
578,female,group C,high school,standard,none,70,76,81
